i,j,x,y,Bx,By,Bz,psi,divB_centered,normDivB_centered,divB_fv,normDivB_fv,divB_analytic_initial,Bmag
0,0,0.00390625,0.00390625,1,2.09997e-23,0,0,1.55593e-21,1.21557e-23,0,0,6.25069e-21,1
1,0,0.0117188,0.00390625,1,4.53111e-23,0,0,3.35722e-21,2.62283e-23,0,0,1.33455e-20,1
2,0,0.0195312,0.00390625,1,9.65815e-23,0,0,7.15599e-21,5.59062e-23,0,0,2.81444e-20,1
3,0,0.0273438,0.00390625,1,2.03368e-22,0,0,1.50681e-20,1.17719e-22,0,0,5.86271e-20,1
4,0,0.0351562,0.00390625,1,4.23028e-22,0,0,3.13433e-20,2.4487e-22,0,0,1.20629e-19,1
5,0,0.0429688,0.00390625,1,8.69269e-22,0,0,6.44066e-20,5.03177e-22,0,0,2.45161e-19,1
6,0,0.0507812,0.00390625,1,1.76457e-21,0,0,1.30742e-19,1.02142e-21,0,0,4.92149e-19,1
7,0,0.0585938,0.00390625,1,3.53851e-21,0,0,2.62178e-19,2.04827e-21,0,0,9.75855e-19,1
8,0,0.0664062,0.00390625,1,7.00973e-21,0,0,5.19371e-19,4.05759e-21,0,0,1.91125e-18,1
9,0,0.0742188,0.00390625,1,1.37177e-20,0,0,1.01638e-18,7.94049e-21,0,0,3.69735e-18,1
10,0,0.0820312,0.00390625,1,2.65191e-20,0,0,1.96488e-18,1.53506e-20,0,0,7.06486e-18,1
11,0,0.0898438,0.00390625,1,5.06449e-20,0,0,3.75242e-18,2.93158e-20,0,0,1.33339e-17,1
12,0,0.0976562,0.00390625,1,9.55457e-20,0,0,7.07925e-18,5.53066e-20,0,0,2.48568e-17,1
13,0,0.105469,0.00390625,1,1.78068e-19,0,0,1.31935e-17,1.03074e-19,0,0,4.57689e-17,1
14,0,0.113281,0.00390625,1,3.27836e-19,0,0,2.42903e-17,1.89768e-19,0,0,8.32397e-17,1
15,0,0.121094,0.00390625,1,5.96249e-19,0,0,4.41778e-17,3.45139e-19,0,0,1.49528e-16,1
16,0,0.128906,0.00390625,1,1.07127e-18,0,0,7.93731e-17,6.20103e-19,0,0,2.65306e-16,1
17,0,0.136719,0.00390625,1,1.90136e-18,0,0,1.40877e-16,1.10061e-18,0,0,4.64943e-16,1
18,0,0.144531,0.00390625,1,3.33374e-18,0,0,2.47006e-16,1.92974e-18,0,0,8.04786e-16,1
19,0,0.152344,0.00390625,1,5.77427e-18,0,0,4.27832e-16,3.34244e-18,0,0,1.3759e-15,1
20,0,0.160156,0.00390625,1,9.88008e-18,0,0,7.32043e-16,5.71909e-18,0,0,2.32336e-15,1
21,0,0.167969,0.00390625,1,1.67002e-17,0,0,1.23737e-15,9.66694e-18,0,0,3.87498e-15,1
22,0,0.175781,0.00390625,1,2.78858e-17,0,0,2.06614e-15,1.61417e-17,0,0,6.38324e-15,1
23,0,0.183594,0.00390625,1,4.59984e-17,0,0,1.7619e-14,1.37648e-16,0,0,1.03856e-14,1
24,0,0.191406,0.00390625,1,7.4955e-17,0,0,1.97645e-14,1.5441e-16,2.84217e-14,2.22045e-16,1.66892e-14,1
25,0,0.199219,0.00390625,1,1.20658e-16,0,0,2.31508e-14,1.80865e-16,0,0,2.64883e-14,1
26,0,0.207031,0.00390625,1,1.91872e-16,0,0,4.26381e-14,3.3311e-16,2.84217e-14,2.22045e-16,4.15223e-14,1
27,0,0.214844,0.00390625,1,3.01416e-16,0,0,5.07544e-14,3.96519e-16,2.84217e-14,2.22045e-16,6.42863e-14,1
28,0,0.222656,0.00390625,1,4.67754e-16,0,0,7.72898e-14,6.03826e-16,2.84217e-14,2.22045e-16,9.83015e-14,1
29,0,0.230469,0.00390625,1,7.17081e-16,0,0,1.38396e-13,1.08122e-15,5.68434e-14,4.44089e-16,1.48458e-13,1
30,0,0.238281,0.00390625,1,1.08597e-15,0,0,2.0836e-13,1.62781e-15,1.13687e-13,8.88178e-16,2.21436e-13,1
31,0,0.246094,0.00390625,1,1.62467e-15,0,0,2.90907e-13,2.27271e-15,1.42109e-13,1.11022e-15,3.26203e-13,1
32,0,0.253906,0.00390625,1,2.40111e-15,0,0,4.19489e-13,3.27726e-15,1.98952e-13,1.55431e-15,4.74594e-13,1
33,0,0.261719,0.00390625,1,3.50555e-15,0,0,6.00797e-13,4.69372e-15,2.84217e-13,2.22045e-15,6.81939e-13,1
34,0,0.269531,0.00390625,1,5.05591e-15,0,0,8.43565e-13,6.59035e-15,3.97904e-13,3.10862e-15,9.67734e-13,1
35,0,0.277344,0.00390625,1,7.20347e-15,0,0,1.17321e-12,9.16573e-15,5.40012e-13,4.21885e-15,1.35628e-12,1
36,0,0.285156,0.00390625,1,1.01387e-14,0,0,1.63228e-12,1.27522e-14,7.38964e-13,5.77316e-15,1.87724e-12,1
37,0,0.292969,0.00390625,1,1.40968e-14,0,0,2.22397e-12,1.73748e-14,1.02318e-12,7.99361e-15,2.56606e-12,1
38,0,0.300781,0.00390625,1,1.93624e-14,0,0,2.99781e-12,2.34204e-14,1.33582e-12,1.04361e-14,3.46405e-12,1
39,0,0.308594,0.00390625,1,2.62721e-14,0,0,3.97873e-12,3.10838e-14,1.79057e-12,1.39888e-14,4.61814e-12,1
40,0,0.316406,0.00390625,1,3.52152e-14,0,0,5.20978e-12,4.07014e-14,2.27374e-12,1.77636e-14,6.08012e-12,1
41,0,0.324219,0.00390625,1,4.66297e-14,0,0,6.75185e-12,5.27488e-14,2.92744e-12,2.28706e-14,7.9052e-12,1
42,0,0.332031,0.00390625,1,6.09951e-14,0,0,8.64044e-12,6.75035e-14,3.6664e-12,2.86438e-14,1.015e-11,1
43,0,0.339844,0.00390625,1,7.8818e-14,0,0,1.09131e-11,8.52587e-14,4.5759e-12,3.57492e-14,1.28695e-11,1
44,0,0.347656,0.00390625,1,1.00613e-13,0,0,1.3608e-11,1.06313e-13,5.57066e-12,4.35207e-14,1.61138e-11,1
45,0,0.355469,0.00390625,1,1.26877e-13,0,0,1.67619e-11,1.30952e-13,6.73595e-12,5.26246e-14,1.99236e-11,1
46,0,0.363281,0.00390625,1,1.58055e-13,0,0,2.03651e-11,1.59103e-13,7.9865e-12,6.23945e-14,2.43256e-11,1
47,0,0.371094,0.00390625,1,1.94506e-13,0,0,2.44443e-11,1.90971e-13,9.32232e-12,7.28306e-14,2.93278e-11,1
48,0,0.378906,0.00390625,1,2.36459e-13,0,0,2.89738e-11,2.26358e-13,1.07434e-11,8.39329e-14,3.49146e-11,1
49,0,0.386719,0.00390625,1,2.83973e-13,0,0,3.3887e-11,2.64742e-13,1.21645e-11,9.50351e-14,4.1043e-11,1
50,0,0.394531,0.00390625,1,3.36897e-13,0,0,inf,inf,1.35287e-11,1.05693e-13,4.76394e-11,1
51,0,0.402344,0.00390625,inf,inf,-nan,0,-nan,nan,-nan,nan,5.45983e-11,-nan
52,0,0.410156,0.00390625,inf,inf,-nan,0,-nan,nan,-nan,nan,6.17831e-11,-nan
53,0,0.417969,0.00390625,1,5.22817e-13,0,0,-nan,nan,-nan,nan,6.90281e-11,1
54,0,0.425781,0.00390625,1,5.90696e-13,0,0,6.12314e-11,4.78371e-13,1.73941e-11,1.35891e-13,7.61444e-11,1
55,0,0.433594,0.00390625,1,6.5929e-13,0,0,6.62854e-11,5.17855e-13,1.75362e-11,1.37002e-13,8.29264e-11,1
56,0,0.441406,0.00390625,1,7.26923e-13,0,0,7.08275e-11,5.5334e-13,1.73372e-11,1.35447e-13,8.91616e-11,1
57,0,0.449219,0.00390625,1,7.91769e-13,0,0,7.46658e-11,5.83327e-13,1.65983e-11,1.29674e-13,9.46411e-11,1
58,0,0.457031,0.00390625,1,8.51936e-13,0,0,7.76885e-11,6.06941e-13,1.54046e-11,1.20348e-13,9.91707e-11,1
59,0,0.464844,0.00390625,1,9.05554e-13,0,0,7.97569e-11,6.23101e-13,1.37277e-11,1.07248e-13,1.02582e-10,1
60,0,0.472656,0.00390625,1,9.50868e-13,0,0,8.07838e-11,6.31123e-13,1.15961e-11,9.05942e-14,1.04744e-10,1
