i,j,x,y,rho,u,v,w,p,Bx,By,Bz,psi,divB_fv,Bmag
0,0,0.00390625,0.00390625,1,0,0,0,0.1,0.707107,0.707107,0,0,0,1
1,0,0.0117188,0.00390625,1,0,0,0,0.1,0.707107,0.707107,0,0,0,1
2,0,0.0195312,0.00390625,1,0,0,0,0.1,0.707107,0.707107,0,0,0,1
3,0,0.0273438,0.00390625,1,0,0,0,0.1,0.707107,0.707107,0,0,0,1
4,0,0.0351562,0.00390625,1,0,0,0,0.1,0.707107,0.707107,0,0,0,1
5,0,0.0429688,0.00390625,1,0,0,0,0.1,0.707107,0.707107,0,0,0,1
6,0,0.0507812,0.00390625,1,0,0,0,0.1,0.707107,0.707107,0,0,0,1
7,0,0.0585938,0.00390625,1,0,0,0,0.1,0.707107,0.707107,0,0,0,1
8,0,0.0664062,0.00390625,1,0,0,0,0.1,0.707107,0.707107,0,0,0,1
9,0,0.0742188,0.00390625,1,0,0,0,0.1,0.707107,0.707107,0,0,0,1
10,0,0.0820312,0.00390625,1,0,0,0,0.1,0.707107,0.707107,0,0,0,1
11,0,0.0898438,0.00390625,1,0,0,0,0.1,0.707107,0.707107,0,0,0,1
12,0,0.0976562,0.00390625,1,0,0,0,0.1,0.707107,0.707107,0,0,0,1
13,0,0.105469,0.00390625,1,0,0,0,0.1,0.707107,0.707107,0,0,0,1
14,0,0.113281,0.00390625,1,0,0,0,0.1,0.707107,0.707107,0,0,0,1
15,0,0.121094,0.00390625,1,0,0,0,0.1,0.707107,0.707107,0,0,0,1
16,0,0.128906,0.00390625,1,0,0,0,0.1,0.707107,0.707107,0,0,0,1
17,0,0.136719,0.00390625,1,0,0,0,0.1,0.707107,0.707107,0,0,0,1
18,0,0.144531,0.00390625,1,0,0,0,0.1,0.707107,0.707107,0,0,0,1
19,0,0.152344,0.00390625,1,0,0,0,0.1,0.707107,0.707107,0,0,0,1
20,0,0.160156,0.00390625,1,0,0,0,0.1,0.707107,0.707107,0,0,0,1
21,0,0.167969,0.00390625,1,0,0,0,0.1,0.707107,0.707107,0,0,0,1
22,0,0.175781,0.00390625,1,0,0,0,0.1,0.707107,0.707107,0,0,0,1
